millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX(uT),magY(uT),magZ(uT),ozone concentration,
3364081,-33.33714,4072,0.00000,12917.16600,20286.62900,11.23430,0.77527,0.45942,-1.23792,0.38820,0.42944,78.95352,-4.66238,32.34435,20,
3365437,-33.33462,4062,0.00000,12917.16600,20299.01400,11.47837,1.76590,-0.64606,2.25898,0.61758,0.16768,68.21105,-20.06723,52.74773,20,
3366786,-33.32516,4050,0.00000,12917.16600,20312.54900,9.02333,1.11984,-2.11765,-0.06811,0.07575,-0.16585,52.39696,10.33324,55.97779,20,
3368134,-33.31160,4039,0.00000,12917.16600,20324.99200,10.58106,1.77308,-1.37827,-1.90987,0.24893,-0.40775,57.29319,-41.65449,53.87313,20,
3369483,-33.30056,4028,0.00000,12917.16600,20335.18800,11.60040,1.16291,0.98345,3.87441,-0.01191,0.35277,69.26337,9.64630,1.54925,20,
3370834,-33.29488,4018,0.00000,12917.16600,20348.81400,8.59263,0.74656,-1.65823,-1.98073,0.12584,-0.08674,72.40573,-45.93686,25.47501,20,
3372182,-33.28637,4006,0.00000,12917.16600,20362.47300,8.68595,0.97627,0.56710,1.34085,0.34300,-0.26542,76.11810,-1.53464,2.23619,20,
3373529,-33.27155,3995,0.00000,12917.16600,20373.88500,9.57608,1.10548,0.89013,-2.45690,-0.38393,0.00794,70.50570,-43.55452,5.62701,20,
3374881,-33.26556,3985,0.00000,12917.16600,20384.17000,8.41316,2.24686,0.48814,3.85914,0.10751,-0.14752,64.19176,-49.76615,38.58521,20,
3376233,-33.25799,3977,0.00000,12917.16600,20394.47900,10.15035,-1.50030,0.69631,-0.17471,0.46823,0.17837,72.93189,-33.42590,-0.48232,20,
3377582,-33.24821,3969,0.00000,12917.16600,20402.50600,10.91127,-0.53839,0.12921,0.37415,0.35705,0.30757,75.37270,-37.18211,7.38088,20,
3378929,-33.23528,3960,0.00000,12917.16600,20413.99600,7.81735,0.35174,-2.84267,0.98441,0.21533,-0.07269,69.29260,-38.58521,43.23297,20,
3380282,-33.22330,3951,0.00000,12917.16600,20423.20500,9.19562,2.54118,-2.20379,-3.13221,-0.25779,-0.27978,76.01579,-36.84595,11.37094,20,
3381630,-33.20911,3944,0.00000,12917.16600,20431.27500,9.87039,1.92383,-4.23530,-5.17036,-0.01374,0.57146,69.96492,-26.01579,49.63461,20,
3382979,-33.19682,3938,0.00000,12917.16600,20437.04900,9.05205,1.75155,0.17946,1.23456,-0.00672,-0.13561,66.92487,-47.89535,32.68050,20,
3384328,-33.18262,3933,0.00000,12917.16600,20442.82400,11.88754,-1.17727,-0.76810,-1.24983,-0.11393,0.36377,73.79421,6.21163,10.97632,20,
3385680,-33.17064,3927,0.00000,12917.16600,20450.92200,11.45683,-1.98844,-0.13639,3.57326,0.12370,-0.45601,73.53114,-1.69541,42.12218,20,
3387033,-33.16244,3922,0.00000,12917.16600,20456.71500,9.28176,3.33799,-0.83270,-0.52198,0.08338,-0.01619,70.81263,-38.74598,-0.11692,20,
3388379,-33.14920,3916,0.00000,12917.16600,20464.83200,9.87757,1.37827,-0.99063,0.10293,-0.29474,-0.03268,74.72961,-41.88834,26.33733,20,
3389727,-33.13564,3909,0.00000,12917.16600,20472.96100,8.97309,0.83270,0.61017,-3.81119,-0.02260,0.51404,72.42035,-30.70740,45.32301,20,
3391077,-33.12429,3900,0.00000,12917.16600,20483.43600,8.28395,-1.47876,-3.88355,3.96818,0.02199,0.03451,65.98948,18.26951,29.65507,20,
3392431,-33.11199,3892,0.00000,12917.16600,20492.75600,10.94716,-0.49531,-0.82552,-2.04518,-0.42089,0.07758,72.62496,8.43321,29.74277,20,
3393779,-33.10095,3885,0.00000,12917.16600,20499.76000,12.25364,2.26840,-0.83988,0.40103,0.44196,0.22755,73.07805,-43.42298,13.73867,20,
3395128,-33.08802,3877,0.00000,12917.16600,20509.11100,9.56172,0.25125,2.49811,-0.29444,0.03299,0.10324,66.96872,-25.89886,-12.56942,20,
3396478,-33.07541,3870,0.00000,12917.16600,20518.47500,10.25085,3.51027,-2.16072,3.92817,-0.03085,-0.39859,70.25723,-46.05378,10.69863,20,
3397825,-33.06059,3862,0.00000,12917.16600,20529.03500,11.63630,-2.32582,2.18225,0.27794,-0.32956,-0.38087,74.99269,-25.13885,-1.34464,20,
3399176,-33.04892,3853,0.00000,12917.16600,20538.43200,8.10449,0.15793,-0.41635,3.23972,0.36713,-0.00550,66.38410,17.75797,16.06256,20,
3400527,-33.04261,3844,0.00000,12917.16600,20549.02700,8.11885,-2.54118,0.75374,-5.45533,0.36652,0.27978,75.44578,-31.80357,3.78544,20,
3401876,-33.03063,3836,0.00000,12917.16600,20558.46100,8.86541,0.66760,-2.04586,0.52748,0.18051,0.55803,68.94183,-44.91377,6.75241,20,
3403223,-33.01360,3828,0.00000,12917.16600,20566.72900,9.06640,4.48654,-0.76092,1.86008,0.07697,-0.16860,60.55247,-55.36393,16.72026,20,
3404569,-32.99973,3821,0.00000,12917.16600,20575.01000,11.31326,-1.84487,-0.40199,1.96668,-0.11148,-0.49175,71.79188,-41.78603,4.79392,20,
3405921,-32.99090,3813,0.00000,12917.16600,20584.48600,12.17468,1.57926,0.62453,-1.27640,-0.18754,0.16768,74.27653,-43.43759,21.28033,20,
3407269,-32.98207,3806,0.00000,12917.16600,20593.98000,8.88694,0.80399,-0.53121,-2.01494,0.20464,0.19670,67.84566,5.26162,45.80532,20,
3408618,-32.97009,3798,0.00000,12917.16600,20602.30100,9.71247,6.46062,-0.55992,-3.29623,-0.12767,-0.49969,71.04648,-10.05554,48.93306,20,
3409968,-32.95590,3791,0.00000,12917.16600,20611.82000,10.03550,4.99621,1.17727,-5.71984,-0.18387,0.83994,62.75943,-27.06811,-15.06869,20,
3411321,-32.94833,3782,0.00000,12917.16600,20622.55900,8.21217,-0.43071,1.85204,4.06806,0.36652,0.32651,56.46010,25.28501,9.89477,20,
3412670,-32.93224,3775,0.00000,12917.16600,20630.92200,11.27737,1.81615,-0.58863,0.38210,-0.29749,-0.24099,70.79801,-46.15609,28.42736,20,
3414019,-32.91490,3767,0.00000,12917.16600,20639.29900,9.54018,-0.78245,-1.95254,-3.75377,0.36102,-0.02688,75.63578,5.36393,21.61649,20,
3415364,-32.90229,3760,0.00000,12917.16600,20647.68800,8.76491,1.86640,3.18006,4.39854,0.25962,-0.14722,72.93189,-44.24145,23.96960,20,
3416717,-32.89062,3754,0.00000,12917.16600,20653.68600,11.14816,1.48594,1.13420,-1.19882,-0.09529,0.60262,77.05349,-15.63870,0.10231,20,
3418065,-32.87675,3749,0.00000,12917.16600,20662.09800,11.95933,0.55274,-0.86142,0.54520,0.63438,0.21594,63.98714,-43.59836,44.88454,20,
3419419,-32.86445,3742,0.00000,12917.16600,20670.52000,9.41815,0.14357,0.48814,-1.27488,0.06964,0.04826,58.43320,-32.41742,-17.14411,20,
3420769,-32.84900,3734,0.00000,12917.16600,20680.16000,9.72682,4.68036,-0.78245,4.91441,0.19303,-0.44776,68.70798,-43.18913,2.03157,20,
3422119,-32.83796,3725,0.00000,12917.16600,20688.60700,9.24587,5.03928,-1.27777,-3.76201,-0.04734,0.68478,76.73195,-23.39959,38.61444,20,
3423468,-32.82409,3718,0.00000,12917.16600,20699.49400,8.19063,-0.48814,-4.24247,7.84687,0.10079,-0.14569,71.13417,10.02631,33.07512,20,
3424817,-32.81053,3710,0.00000,12917.16600,20707.97300,11.45683,0.14357,-0.91884,-4.61264,0.40959,-0.14478,74.94884,-38.76060,31.75972,20,
3426168,-32.79886,3703,0.00000,12917.16600,20715.25000,11.42094,-0.02154,-1.15573,4.98100,0.56933,-0.30604,64.26483,-21.77726,56.35779,20,
3427517,-32.78498,3696,0.00000,12917.16600,20724.97500,8.14756,2.06740,0.83988,-4.49383,-0.03543,0.11942,51.88541,-24.65653,-21.93803,20,
3428866,-32.77079,3690,0.00000,12917.16600,20732.27500,9.95653,2.97906,1.03370,3.38633,0.36927,-0.44685,63.69483,-35.72055,-9.71938,20,
3430212,-32.75471,3683,0.00000,12917.16600,20740.80100,12.36850,0.33021,3.35952,-1.60627,-0.59895,0.21105,76.03040,-39.33060,24.74423,20,
3431565,-32.74588,3676,0.00000,12917.16600,20748.12500,8.02553,-1.47876,-0.09332,4.01125,0.13653,-0.27794,70.28647,5.93394,-1.41771,20,
3432913,-32.73359,3669,0.00000,12917.16600,20757.90200,10.53081,4.14198,-0.96191,-6.39729,0.01497,-0.42333,71.79188,-32.22742,43.97837,20,
3434262,-32.71908,3661,0.00000,12917.16600,20767.69700,12.54796,-1.39262,1.73001,1.06107,-0.53115,-0.12889,71.30956,12.58404,12.80327,20,
3435612,-32.70552,3654,0.00000,12917.16600,20776.28100,8.25524,1.10548,0.30150,-3.86250,-0.12553,0.29260,52.87927,-14.19176,-22.66881,20,
3436960,-32.69101,3646,0.00000,12917.16600,20787.34000,10.12882,-1.72283,1.07677,3.06135,0.29291,0.26725,54.03391,27.66735,19.45338,20,
3438309,-32.67746,3637,0.00000,12917.16600,20798.41800,12.46182,-1.40698,-1.78744,-5.81513,-0.26817,-0.69700,76.11810,-27.02426,2.92312,20,
3439657,-32.66295,3630,0.00000,12917.16600,20807.05100,8.94437,-3.31645,-2.45504,4.26995,0.50702,-0.42883,65.85793,18.32797,11.22479,20,
3441009,-32.65097,3621,0.00000,12917.16600,20818.17000,8.31267,2.56989,1.26341,-3.53172,0.20617,-0.34911,63.84098,-46.75533,41.34756,20,
3442358,-32.63677,3612,0.00000,12917.16600,20826.83400,11.83011,1.96690,0.79681,-0.05162,0.52779,-0.51343,72.72727,-29.05583,44.31453,20,
3443706,-32.62353,3606,0.00000,12917.16600,20836.75200,10.05703,2.16790,-0.86142,1.76907,-0.04398,0.45448,53.55159,-46.82841,-9.29553,20,
3445056,-32.60903,3598,0.00000,12917.16600,20845.44500,8.78644,-0.05025,1.87358,-5.37531,0.28863,-0.09499,48.49459,-10.45016,-25.34347,20,
3446417,-32.60272,3590,0.00000,12917.16600,20855.39500,11.57169,1.42852,-1.81615,4.82645,1.12155,-0.47037,71.22186,-3.21543,-5.34931,20,
3447764,-32.58506,3583,0.00000,12917.16600,20864.11900,10.15753,1.54337,-1.25623,-1.35429,0.30421,0.40500,66.86642,-15.68255,53.75621,20,
3449113,-32.56929,3575,0.00000,12917.16600,20875.35400,7.83889,2.46221,0.37328,-1.20676,0.04795,-0.01710,62.04326,-46.03917,45.27916,20,
3450462,-32.55258,3566,0.00000,12917.16600,20885.35700,10.90409,6.82672,-2.56271,-0.30024,-0.38454,-0.68111,74.07191,-10.81555,43.59836,20,
3451813,-32.54092,3559,0.00000,12917.16600,20895.38300,12.64128,2.76371,-1.92383,6.06528,0.67562,0.39951,56.53318,-56.82549,14.93715,20,
3453160,-32.52105,3551,0.00000,12917.16600,20904.16800,7.73839,1.79462,-2.86421,-8.65565,0.02413,0.23427,43.43759,-52.66004,-5.80240,20,
3454509,-32.50212,3543,0.00000,12917.16600,20912.96700,11.19841,-3.58206,5.54178,5.12546,0.86193,0.05803,58.56475,16.58872,-4.92546,20,
3455861,-32.48825,3538,0.00000,12917.16600,20920.52100,12.18904,6.75494,-2.49811,-0.07178,0.32681,0.72968,73.64806,-13.34405,46.14148,20,
3457211,-32.47626,3531,0.00000,12917.16600,20930.60900,6.87697,0.20818,1.45005,-4.25376,-0.10079,-0.12431,67.23180,-39.22829,-3.85852,20,
3458561,-32.46145,3522,0.00000,12917.16600,20940.71500,10.50928,3.38106,-5.44846,7.29587,-0.08063,-0.38179,72.34727,-8.18474,46.50687,20,
3459909,-32.44663,3516,0.00000,12917.16600,20948.30700,13.25863,-0.83988,3.66102,-5.14868,-0.81703,0.03543,68.13797,8.12628,-2.48465,20,
3461261,-32.43338,3508,0.00000,12917.16600,20959.71700,7.32204,0.39482,-1.57208,3.34937,0.35247,-0.27245,41.21602,-34.28822,62.35019,20,
3462609,-32.41604,3501,0.00000,12917.16600,20968.60500,10.43031,2.34018,-4.24247,2.07205,-0.36927,-0.30635,55.24700,-49.70769,43.97837,20,
3463958,-32.39775,3494,0.00000,12917.16600,20977.51000,12.94278,-3.85484,2.54836,-1.25502,-0.55528,-0.59162,76.96580,-30.22508,5.68547,20,
3465307,-32.38261,3487,0.00000,12917.16600,20985.15400,7.88196,-1.29930,-0.35174,0.90927,0.22449,-0.01619,65.78486,13.28559,39.34522,20,
3466659,-32.37126,3480,0.00000,12917.16600,20995.35700,10.42314,3.90509,-0.45942,-2.23577,0.10629,-0.39584,70.75417,-39.27214,41.04063,20,
3468008,-32.35392,3473,0.00000,12917.16600,21003.02900,11.60758,-0.27278,-4.96032,4.16641,0.84299,-0.46242,72.80035,-20.94417,46.66764,20,
3469355,-32.33752,3466,0.00000,12917.16600,21011.98600,8.87976,-0.70349,-1.94536,-1.72081,0.16585,0.12675,49.78077,-38.04443,57.98012,20,
3470710,-32.32774,3460,0.00000,12917.16600,21019.67800,10.12882,-3.64666,2.59861,3.20674,0.39615,0.05742,49.02076,30.35662,11.51710,20,
3472064,-32.31166,3453,0.00000,12917.16600,21028.66600,11.61476,1.57926,-1.17009,-4.94251,-0.65393,-0.20281,72.72727,-43.84683,21.77726,20,
3473413,-32.29494,3447,0.00000,12917.16600,21036.37900,8.80798,3.96969,-3.15135,5.10470,0.36621,0.29688,70.73955,-23.00497,48.56767,20,
3474760,-32.27760,3441,0.00000,12917.16600,21042.81800,8.57109,1.42852,-3.81895,1.41476,-0.36835,0.03054,69.39491,-1.19848,46.75533,20,
3476113,-32.26373,3435,0.00000,12917.16600,21053.13300,12.77767,0.18664,0.84706,-3.81088,-0.45509,-0.49724,76.60041,3.43467,26.95119,20,
3477462,-32.24765,3428,0.00000,12917.16600,21060.88300,9.99243,0.73220,-2.34736,2.42819,0.43097,-0.10812,52.57235,-15.18562,62.37942,20,
3478810,-32.23188,3422,0.00000,12917.16600,21069.93900,8.77927,3.35234,-0.74656,-1.84970,-0.01955,-0.27489,45.30839,-56.22625,41.49371,20,
3480157,-32.21391,3415,0.00000,12917.16600,21077.71300,10.35135,2.32582,-1.69412,-0.96059,-0.30360,-0.61636,71.35341,-45.01608,10.72786,20,
3481513,-32.20634,3408,0.00000,12917.16600,21086.79300,10.53799,2.44786,4.51526,1.65942,-0.42425,-0.03054,74.56884,-40.60216,14.01637,20,
3482862,-32.18836,3401,0.00000,12917.16600,21095.89100,8.71466,1.30648,-3.64666,1.64139,-0.04551,0.16188,70.06723,7.76089,38.61444,20,
3484208,-32.16818,3395,0.00000,12917.16600,21103.70500,13.10070,-0.35892,3.17288,-2.04915,0.62797,0.22602,76.95118,-36.33440,23.69190,20,
3485556,-32.14989,3389,0.00000,12917.16600,21111.52500,10.02114,2.34736,0.86859,-3.07540,0.20311,0.58979,56.18240,-56.22625,9.89477,20,
3486908,-32.13665,3383,0.00000,12917.16600,21120.66400,8.49931,2.14636,3.63948,0.25351,0.35766,0.00825,45.71763,-16.03332,-25.09500,20,
3488257,-32.11993,3376,0.00000,12917.16600,21127.20100,10.58824,1.98844,0.05025,3.55035,0.12095,-0.67531,69.36568,-45.24993,5.11546,20,
3489605,-32.10574,3370,0.00000,12917.16600,21136.36700,11.60758,3.14417,-1.96690,-2.63649,0.18479,0.55405,73.41421,-23.22420,44.66530,20,
3490958,-32.09155,3362,0.00000,12917.16600,21146.86300,7.63071,1.47876,0.13639,1.51036,0.19151,0.04551,64.93715,-30.56124,52.82081,20,
3492306,-32.07263,3355,0.00000,12917.16600,21156.06100,10.65285,5.46281,-3.63230,3.03050,-0.23121,-0.69425,72.74189,-10.96171,46.69687,20,
3493659,-32.05497,3350,0.00000,12917.16600,21163.95500,13.88316,4.11326,-11.06920,-7.85603,0.96731,0.07697,61.18094,-43.14528,48.58229,20,
3495008,-32.03763,3342,0.00000,12917.16600,21173.18600,7.32204,1.36391,0.16510,5.29467,0.08613,-0.16799,46.00994,-56.28471,39.81292,20,
3496359,-32.01650,3334,0.00000,12917.16600,21183.75200,11.29173,4.35015,-3.40977,-5.92203,0.10049,-0.37446,59.45630,-50.24847,2.06080,20,
3497708,-32.00042,3328,0.00000,12917.16600,21190.36500,9.94218,-0.50967,-5.03928,4.04881,0.98838,-0.08949,76.65887,2.93774,26.84887,20,
3499063,-31.98781,3322,0.00000,12917.16600,21199.63700,7.33639,0.07178,-4.38604,-1.50364,0.14813,0.13744,63.41713,10.96171,45.26454,20,
3500411,-31.97046,3315,0.00000,12917.16600,21208.92800,10.39442,0.88295,-2.92164,-4.00636,-0.30268,-0.14294,70.09647,-4.83777,48.01228,20,
3501763,-31.95375,3309,0.00000,12917.16600,21218.23000,15.83570,2.77089,-2.39043,7.64101,0.97952,0.04612,64.01637,-44.72376,42.50219,20,
3503111,-31.93766,3301,0.00000,12917.16600,21228.88500,7.91785,0.61735,1.04806,-2.56594,-0.18295,0.18448,47.90997,-2.74773,-23.20959,20,
3504459,-31.92190,3291,0.00000,12917.16600,21240.89500,8.21217,5.43410,-7.62353,4.30477,-0.28008,-0.27092,53.59544,-52.85004,41.53756,20,
3505808,-31.90708,3284,0.00000,12917.16600,21250.25200,8.93001,-3.46002,2.13918,1.34421,-0.54489,-0.39828,75.94270,-37.60596,13.50482,20,
3507161,-31.89005,3277,0.00000,12917.16600,21259.63100,8.01117,0.80399,-4.71625,7.07046,0.31643,-0.03971,60.59632,-28.69044,57.13242,20,
3508509,-31.87302,3271,0.00000,12917.16600,21267.67800,10.45185,-0.54556,-0.16510,-4.12090,0.19609,0.34758,69.58492,5.83163,-2.03157,20,
3509858,-31.85757,3265,0.00000,12917.16600,21275.74000,11.82294,-0.82552,0.99063,-1.74646,-0.56169,0.17715,72.23034,0.83309,-1.84157,20,
3511215,-31.84590,3259,0.00000,12917.16600,21282.46500,8.31984,-4.53679,-2.09611,7.95316,0.23060,-0.57635,53.27390,16.93949,50.80386,20,
3512562,-31.83045,3252,0.00000,12917.16600,21294.59600,10.28674,-5.62074,-3.82612,-0.67653,-0.45509,0.56413,65.46332,-12.71558,55.26162,20,
3513911,-31.81121,3245,0.00000,12917.16600,21302.69700,11.97368,5.43410,-2.72064,6.05123,0.50457,0.48045,73.86729,-22.97574,45.33762,20,
3515259,-31.79545,3239,0.00000,12917.16600,21312.16400,7.65943,-0.70349,-0.38764,-4.97702,-0.10660,0.15424,60.42093,-54.57469,16.06256,20,
3516607,-31.77558,3231,0.00000,12917.16600,21321.64600,10.75335,0.40199,-4.52243,4.41381,-0.08613,-0.02382,57.68781,14.41099,49.73692,20,
3517956,-31.76076,3226,0.00000,12917.16600,21328.43200,11.65065,1.28495,0.42353,1.09192,-0.64721,-0.27184,70.31570,7.24934,38.14674,20,
3519304,-31.74405,3221,0.00000,12917.16600,21335.22700,10.16471,-2.32582,-1.44287,-0.37813,0.23335,-0.11545,60.55247,-13.88483,57.36627,20,
3520654,-31.72387,3214,0.00000,12917.16600,21346.11100,9.66940,-0.99063,0.30867,1.35887,0.43891,0.01069,66.88103,-1.71003,-9.86554,20,
3522006,-31.70936,3206,0.00000,12917.16600,21355.65200,12.53360,1.80897,2.67039,-1.74860,0.46517,0.54428,77.98889,-7.05934,34.36130,20,
3523356,-31.69076,3199,0.00000,12917.16600,21365.21500,9.05205,-2.54118,1.68694,4.51582,-0.20281,-0.33750,57.61473,8.27244,-12.73020,20,
3524705,-31.67246,3190,0.00000,12917.16600,21377.53300,8.37727,4.14915,-2.54836,-6.90553,0.00886,-0.09529,51.56387,-42.69220,54.91084,20,
3526062,-31.66111,3182,0.00000,12917.16600,21388.50400,11.76551,0.30150,-0.58146,-2.01005,-0.50091,0.40500,71.47033,12.37942,24.42268,20,
3527409,-31.64408,3175,0.00000,12917.16600,21398.12300,10.67438,-0.96909,-0.84706,-1.47066,0.44990,-0.07697,71.38264,-39.63753,36.80210,20,
3528758,-31.62705,3166,0.00000,12917.16600,21410.51400,7.21436,-2.58425,2.53400,3.41077,0.25565,0.11209,66.80795,15.94563,32.09588,20,
3530106,-31.60876,3159,0.00000,12917.16600,21420.17200,8.79362,3.82612,-3.48156,-2.20492,-0.35583,-0.50121,75.43116,-18.50336,-2.07542,20,
3531459,-31.59458,3151,0.00000,12917.16600,21431.23200,9.28894,4.44347,-3.21595,1.46180,0.51160,0.18295,53.93160,-11.18094,62.13096,20,
3532808,-31.57881,3145,0.00000,12917.16600,21439.54300,8.85105,2.22533,5.18285,-3.77912,0.42486,0.02718,58.44782,-32.19819,-15.05408,20,
3534156,-31.55799,3140,0.00000,12917.16600,21446.47700,12.26800,2.78525,-0.36610,0.52687,-0.27550,0.03238,73.50190,1.37387,37.72289,20,
3535510,-31.54191,3135,0.00000,12917.16600,21452.02700,9.58325,-0.07896,-1.03370,-1.73089,0.17562,-0.23518,74.40807,-2.90851,38.33675,20,
3536860,-31.52614,3131,0.00000,12917.16600,21458.97900,9.85604,-3.10110,2.61296,-2.51005,0.29566,0.03390,68.94183,13.27097,33.33820,20,
3538207,-31.50628,3125,0.00000,12917.16600,21464.54700,10.60260,-0.31585,0.06461,1.19669,-0.34606,-0.23579,70.21339,-28.71967,-6.84011,20,
3539556,-31.48578,3120,0.00000,12917.16600,21475.69700,10.06421,4.23530,-1.34955,-5.76046,-0.05773,0.32529,54.13622,-54.60392,37.54750,20,
3540904,-31.47002,3112,0.00000,12917.16600,21485.47300,9.61197,2.00997,0.08614,0.46731,0.12309,-0.24862,56.02163,-55.62701,32.09588,20,
3542257,-31.45425,3105,0.00000,12917.16600,21493.86700,11.69372,2.07458,0.13639,7.24914,0.51129,-0.63499,73.42882,-36.48056,35.07746,20,
3543606,-31.43817,3099,0.00000,12917.16600,21503.67600,9.62633,1.96690,0.70349,-4.06470,-0.03635,0.31001,72.75651,-20.79801,-5.05700,20,
3544952,-31.42176,3092,0.00000,12917.16600,21513.50200,9.03051,3.54616,1.37827,3.55310,0.35827,-0.37171,72.96112,-34.18591,2.51388,20,
3546303,-31.40600,3084,0.00000,12917.16600,21526.16400,12.93560,1.24905,0.99063,-3.10747,-0.51862,0.05681,74.91961,-33.03128,6.27010,20,
3547656,-31.39244,3075,0.00000,12917.16600,21537.44300,9.13101,-1.19880,0.02871,-2.22416,-0.05437,-0.13439,59.20783,9.41245,-10.66939,20,
3549004,-31.37636,3066,0.00000,12917.16600,21551.57800,6.93440,3.06521,-3.02931,-0.89644,-0.14813,-0.06750,54.75007,-33.16282,56.84010,20,
3550352,-31.35964,3058,0.00000,12917.16600,21561.49400,7.25025,1.94536,-0.94038,-1.53694,0.64507,-0.33262,79.12891,-31.08740,17.58258,20,
3551705,-31.34735,3050,0.00000,12917.16600,21572.84800,8.33420,5.53460,0.22971,1.80083,0.12767,0.09346,76.16194,-34.41976,9.50015,20,
3553221,-31.40348,3043,0.00000,12917.16600,21582.80500,9.01616,0.11486,2.62014,0.25595,-0.25992,-0.21991,73.70652,-36.11517,7.57089,20,
3554570,-31.38392,3037,0.00000,12917.16600,21589.92600,13.40220,0.81835,-1.17009,-1.08429,0.10263,-0.41294,65.65332,13.91406,3.02543,20,
3555918,-31.33726,3031,0.00000,12917.16600,21599.91200,8.27677,-0.13639,-1.45005,-1.88085,0.05009,-0.17746,53.88776,20.43262,-5.20316,20,
3557270,-31.30887,3025,0.00000,12917.16600,21608.48600,9.72682,-4.30708,1.57208,-3.22537,0.09377,0.50977,57.76089,16.45718,-5.86086,20,
3558619,-31.28049,3019,0.00000,12917.16600,21615.64500,9.78425,2.91446,-4.48654,4.20367,0.47373,0.65363,77.93044,-18.97106,4.29699,20,
3559967,-31.25779,3015,0.00000,12917.16600,21622.80900,10.02114,0.98345,-0.37328,1.27610,0.24893,0.11484,72.52265,-42.86758,26.20579,20,
3561316,-31.23508,3009,0.00000,12917.16600,21631.42200,10.45903,0.54556,-1.11984,-0.87170,-0.16371,0.05773,70.60801,-45.41070,24.65653,20,
3562671,-31.21774,3003,0.00000,12917.16600,21640.04700,11.08355,6.10888,-0.66042,-2.90833,0.05376,-0.50855,74.46653,-10.99094,-3.25928,20,
3564019,-31.19945,2996,0.00000,12917.16600,21648.68900,9.68375,1.56491,2.39761,5.16120,-0.25381,-0.22877,56.82549,-42.13680,-11.38556,20,
3565372,-31.18337,2990,0.00000,12917.16600,21658.78500,8.06860,-0.05743,-0.15793,-7.14865,0.07208,-0.08491,55.86086,-55.10085,8.87168,20,
3566724,-31.16697,2983,0.00000,12917.16600,21667.45500,10.24367,2.37607,0.50249,3.66000,-0.22235,-0.52809,68.86875,-16.93949,51.47617,20,
3568072,-31.14553,2978,0.00000,12917.16600,21676.14100,9.18126,2.56271,-2.58425,0.28894,0.33903,0.15241,70.08185,-45.87840,14.23560,20,
3569421,-31.12566,2972,0.00000,12917.16600,21683.39100,8.94437,4.57986,-2.00997,-0.77916,0.11118,-0.21044,70.54955,-44.05145,10.80094,20,
3570769,-31.10548,2968,0.00000,12917.16600,21690.64600,11.75115,0.66760,-1.60080,3.43764,0.72998,0.20953,72.94651,4.19468,35.13593,20,
3572117,-31.08498,2964,0.00000,12917.16600,21696.45900,11.10509,-1.45723,-2.51964,-0.75045,0.15638,0.25870,62.87635,-28.70506,53.49313,20,
3573471,-31.07363,2958,0.00000,12917.16600,21706.65000,9.00898,-1.42852,-1.42852,4.24490,0.20189,-0.06689,59.36860,0.30693,-16.26717,20,
3574819,-31.05975,2952,0.00000,12917.16600,21713.93800,9.97089,-0.01436,-6.58266,-4.67434,-0.40867,0.05467,67.56796,5.18854,43.84683,20,
3576169,-31.04336,2946,0.00000,12917.16600,21722.69700,10.49492,-2.13918,-6.86262,-2.38176,0.44654,0.09865,71.44110,-42.32681,31.75972,20,
3577525,-31.02885,2939,0.00000,12917.16600,21734.40200,7.86760,0.22971,0.12203,-2.08091,0.10171,0.12981,66.85180,-9.09091,-11.80941,20,
3578873,-31.00804,2931,0.00000,12917.16600,21746.13100,11.91626,-1.95254,-2.56989,2.95201,-0.10690,0.27794,69.36568,-26.48348,48.88921,20,
3580219,-30.98785,2924,0.00000,12917.16600,21756.41800,10.06421,1.19163,-2.38325,0.67867,0.66065,-0.18479,65.79948,17.11488,32.18357,20,
3581572,-30.97461,2916,0.00000,12917.16600,21765.24800,7.33639,3.18724,-0.94756,-2.94193,-0.03848,0.10873,50.67232,-54.64776,39.22829,20,
3582924,-30.95821,2910,0.00000,12917.16600,21775.56800,9.87039,2.41197,2.03151,0.29260,0.14508,-0.55100,65.77025,-47.09149,35.88132,20,
3584273,-30.94024,2904,0.00000,12917.16600,21784.43000,12.93560,1.60798,-3.47438,-0.39523,0.78069,-0.03421,73.01958,-34.94592,37.18211,20,
3585622,-30.92195,2898,0.00000,12917.16600,21793.30900,7.70967,0.53839,-1.54337,-1.85459,0.19670,0.08583,62.21865,-47.73458,40.96755,20,
3586974,-30.90208,2892,0.00000,12917.16600,21803.68800,10.94716,3.86202,3.65384,-1.12308,0.49205,-0.29871,66.20871,-4.51622,-12.54019,20,
3588323,-30.88190,2886,0.00000,12917.16600,21809.62500,11.93061,5.37667,-0.55992,-4.38907,-0.42852,0.75625,67.14410,-44.15376,38.04443,20,
3589673,-30.86518,2881,0.00000,12917.16600,21818.54500,8.12603,0.26560,1.81615,0.05559,0.04551,0.17532,51.37387,-36.43671,57.38089,20,
3591022,-30.84501,2874,0.00000,12917.16600,21828.97100,10.13600,-1.24905,-4.87418,2.99752,-0.16157,0.04307,57.43935,17.37796,44.86992,20,
3592374,-30.82608,2867,0.00000,12917.16600,21839.42000,11.34916,1.50030,0.23689,-2.62061,-0.79810,0.25931,73.77959,5.70009,12.64250,20,
