millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX(uT),magY(uT),magZ(uT),ozone concentration,
53992,23.54677,95192,15.95109,76.96300,523.51636,-10.43749,-0.83270,-0.59581,0.22846,0.04337,-0.27703,-36.56825,-1.02309,24.53961,20,
55337,23.56602,95192,15.92211,77.67400,523.69342,-9.94218,-0.48096,1.53619,0.02077,-0.02046,-0.02016,-35.93978,-6.75241,13.13943,20,
56683,23.58684,95191,15.87327,78.54500,523.78058,-9.91346,-1.35673,0.93320,-0.02107,-0.36163,0.09774,-35.51593,-6.40164,13.31482,20,
58030,23.60704,95191,15.84933,78.76600,523.69342,-9.94218,-1.48594,0.52403,-0.04307,0.00367,0.04429,-37.06519,-2.38234,19.89184,20,
59378,23.62471,95191,15.81032,79.51100,523.69342,-9.87757,-2.20379,-0.05025,-0.09835,-0.12553,0.15211,-37.34288,1.30079,22.39111,20,
60725,23.64490,95191,15.76647,79.81300,523.78058,-9.80579,-1.93819,0.40917,0.14478,0.04398,-0.18051,-37.81058,0.57001,20.09646,20,
62071,23.66194,95192,15.74239,80.73300,523.60620,-10.07857,-1.36391,0.43789,0.03299,-0.03299,0.12920,-37.66442,-1.14002,19.07337,20,
63417,23.67740,95192,15.70331,80.88800,523.60620,-9.49711,-1.20598,2.34736,-0.04307,-0.00183,0.12828,-37.09442,-3.05466,17.99182,20,
64766,23.69381,95191,15.65434,81.83300,523.69342,-9.71247,-1.11266,1.39980,-0.17165,-0.15058,0.10904,-37.56212,-2.44081,16.86641,20,
66117,23.70990,95192,15.61531,81.99300,523.69342,-9.88475,-1.83769,0.63171,0.07575,0.02566,0.07361,-38.13213,-0.92078,19.35107,20,
67463,23.72820,95191,15.57142,82.88200,523.69342,-9.90629,-1.22752,1.05523,0.10140,0.07850,0.06384,-37.53288,-2.85004,16.32564,20,
68811,23.74461,95192,15.53741,83.45800,523.60620,-9.88475,-1.42852,0.89731,0.40714,-0.08277,0.01069,-37.60596,-2.49927,15.81409,20,
70211,23.73799,95191,15.47250,84.04200,523.69342,-9.90629,-1.79462,0.96191,-0.26542,0.07605,-0.02871,-38.00058,-2.10465,16.57410,20,
71557,23.75660,95192,15.44358,84.12600,523.69342,-9.88475,-1.65105,0.78963,-0.01405,-0.06048,0.05528,-37.41596,-0.67232,18.00643,20,
72903,23.78374,95192,15.41506,84.80500,523.60620,-9.89193,-1.68694,0.86142,0.04887,0.03390,-0.05345,-38.48290,-0.97925,18.19643,20,
74253,23.80519,95192,15.36642,85.32100,523.60620,-9.96371,-1.50748,0.56710,0.09102,-0.02016,0.00367,-37.85443,-0.78924,19.90646,20,
75599,23.82507,95192,15.33758,85.84400,523.60620,-9.82732,-1.87358,0.35174,-0.09346,-0.03665,-0.05651,-37.94212,-0.89155,16.41333,20,
76945,23.84590,95192,15.31374,86.19600,523.60620,-9.89193,-1.37109,0.19382,0.04612,-0.04612,0.07086,-36.67057,-3.82929,16.95411,20,
78294,23.86294,95191,15.27485,86.73000,523.60620,-9.88475,-1.22752,0.08614,0.03207,-0.03054,0.04276,-37.89827,-3.28851,15.88717,20,
